audiocap_id,youtube_id,caption
48622,Nnv7ImgNAEg,Continuous hissing with bells and a horn honking
19391,77W8716C44A,A frog croaking
46861,MgHh1iN_8fk,A sewing machine operates with squeaking sounds followed by knocking
58074,UA5_5uj4iIw,"The whir of machine motors, the clacking of wooden boards"
19390,77VHwpyq6xo,A dog barks while people speak
58072,U9ySkH80BU8,Someone speaks as water runs into a sink
48627,No4tP84-NvI,Clanking with brief speech
90310,qNsnip5tvsg,A person talking as a crowd laughs
62360,XASclzoqguI,A woman talks followed by sizzling and frying of food
90314,qO0P57aZBiw,A steam engine running on railroad tracks as steam heavily hisses
90317,qOA4vLvHHn8,Dogs growling while a woman is talking followed by dogs barking
91074,qzy-KWlmlgc,A spray is triggered
54542,RmF5uH_SuKQ,Several engines work in idle nearby
82440,kZ6h5EYl6fs,A large engine roars and someone is shouts a loud short rout
13058,4I2KlSyijz4,Men talk while an audience laughs and water runs from a faucet
13059,4IF49XmNCaw,"A toilet flushes, water flows"
13052,4HtkTDr342c,A man is speaking and water is gurgling in the background
13053,4HxIyosr-AM,A man is narrating while instrumental music plays and a plane engine sounds
13050,4HrtJcJc174,A woman is giving a speech
13051,4Hs1yZu1GAU,Food is sizzling dishes are clanging together and a woman is speaking
13056,4HzAuSA8Syk,"People talking in foreign language, train horn"
13054,4Hy1t6KBY4o,Vehicle drives and honks its horn
54170,RX7gmpgfnYs,A man is talking and spraying something
54172,RXE39pZXG3M,A few slams are followed by referee whistles
54173,RXE4HGOTQWI,Phone ringing then two men speaking
33714,EN_D3UzTfqE,"An engine vibrates loudly nearby, and then wind blows"
54179,RXPij7peR3I,Singing followed by a man speaking then a bang
94541,tdWWY6SoqlY,A bus slows down and its engine decelerates quietly
94540,tdUv86s7PMw,An engine works while some frogs croak
94544,tdZk4rxpSlc,Whimpering and long yipping.
94546,tdfz7W9xNIw,Loud wind noises and a car horn and a person talking at the end
62084,WxuCynzEntQ,Metal clangs together in an enclosed space
20258,7XQZvjD_Ww0,A small motor is vibrating consistently
40321,ISTN_64MVnA,An electronic bleep beeping repeatedly
20252,7XCSZi0rS5E,A baby laughs and a man speaks
20253,7XCaCkHgkZM,A cat is meowing over and over
20250,7X3i7llSK9U,A train is blowing its horn as it passes by
20251,7XAySrozWrk,People in a small room are chanting and singing
20256,7XKwZAmhdrg,A bus engine idles and people are having a conversation
20257,7XL--db_qQ4,A bell is ringing and a train blows its horn twice long and hard
44424,L5gAhon3a68,A person speaks and a small RC engine spools up
44423,L5fq5D1Uces,As the wind blows steadily a bird sings and an engine goes by
40960,IryLRJ2P_qQ,An insect buzzing intermittently
29760,CEggxDcgEHc,Metal clashes and a man speaks
1176,-RMHRmd5utQ,Continuous mechanical beep
1175,-RLhcWjOd1E,Animal noises and whimpering
1173,-RKs4NoVRms,A woman sneezes before describing the side effects of her cold
1172,-RIXNh-i88E,Woman speaking while a pan sizzles
1171,-RH8_ZSbHhc,Chatter and then a car horn beeping
1170,-RFRH50Qobg,Train horn tooting multiple times
23507,998RhGRlp1c,Rain hitting the roof
23506,995vcjHHtZc,People are being pushed back on her own
23504,994l_hUXlCM,"A group of birds cheep, a man speaks"
23502,98yzDuNZqjk,A boat or vehicle engine running steadily
1179,-ROt5_xhcyo,Vibration and noise of a working motor
1178,-RNPQI3AJMw,Rapid gunfire and gunshots
27619,B9JPdSzZXvc,A door is sliding open
27618,B9J303z3ICM,A flushing of water and people talking
27617,B9Hlx2G4ADc,An idling engine sound is followed by an engine revving
27616,B9F7ijiMaxs,Children are speaking followed by laughter
27615,B98GzVyBEH8,"A man speaking in the distance with traffic passing in the distance, then a man speaks nearby and a door opens"
27614,B97t6blNHnA,An engine idling consistently
27613,B94vwFIqTUQ,A man speaks and types
27612,B9-LyMdFE4I,Sanding and cracking
27611,B8xK_lJFsRw,People speaking on a moving bus
27610,B8t0JMx0vyk,Water pours out onto a surface
97938,wEXFa9wRSn0,International music plays as water pours into a pot and finally some splashes
59038,UrSXp3cd3tw,Humming of engines with some clicking and crackling
97931,wEDtBaumjH8,A train horn sounds then someone laughs
16881,5y4pi2ShzhY,A explosion and a man speaking
97746,w5xqAI6Ev40,Clanking followed by a toilet flushing and then some more clanking
12830,4BwQL9lW7A4,A vibrating noise
8549,2Qh9AFPNq50,A dog is barking people are talking
12836,4C6JkAoRyVk,A horse neighs and birds chirp outside
12835,4C5_pfsrp3Q,Birds are flapping their wings and some bird call
12834,4C4dfeDruIw,A person snoring
8545,2QZSUAQMHqk,Motor running followed by faint murmuring and gunshot
8544,2QXhTsNhzIQ,"A distant train horn, followed by the clickety-clank of the train on the rail"
12838,4C7XyQgZ_8I,A thump noise and a bird chirps
8541,2QTH4_WQlgg,A toilet flushes and then woman laugh in the background
8543,2QXBc5C7Ut0,Female speaking followed by child speaking
92260,rsfXfpnLfeE,Frogs croaking and chirping
74016,ePDemSpE3Ho,Continuous emergency sirens and horns
92267,rt-0CEbzL2k,High pitched continuous ringing followed by clanking and rustling
92264,rsrZOjkQ3rY,Rubbing and scraping followed by a soft power tool drilling then a louder power tool drilling
92265,rswivgQdpFA,A child and man speak then whistle
92269,rt0Ksg7zpow,"An engine revs, tires squeal, a car accelerates into the distance"
66504,_-sns7INCWo,Rustling together with male speech and white noise
85179,mZRsCN0ygaM,Water running followed by paper ripping
53634,R8z8J9klk70,A camera is shuffled and a clang occurs
50410,OzmtIGIsh7Y,A man is speaking then a sewing machine briefly turns on and off
66508,_0GMVllsIy4,A pigeon coos softly and then there is a lot of pecks and cooing by a lot of birds
23127,8xfX6p4e1ZI,Clip-clop of a horse trotting by
23126,8xah8J3bWis,A man and a woman talking as a telephone is ringing
16887,5yFBvLbq1XA,Water running from a faucet
88394,oy-nvX8f8nY,A drill runs continuously
55621,SUF1l9xmZ-A,An engine revs very close by and then idles rickety
55627,SUTOf4oOJRE,A loud engine idling
55626,SUNjVhN08fE,A man speaks as water flows down a stream
22678,8j7q3t8ie10,Moving of objects followed by a beep
22679,8jF5KAS1LkI,Females speech followed by a sewing machine in operation
22676,8j6uc8DEzWA,A man is speaking and loud bangs happen
82995,kxY_Asbi1wI,Water moves around and splashes loudly as a man grunts at the end
22674,8j5gWsCQ3_4,A woman speaking and crowd cheering
22675,8j69QB0y4Cw,A vehicle driving by quietly and slowly
22672,8ixP67tAOXs,Vehicles are racing by at a fast speed
22673,8j-jFjOn_4A,Wind is blowing and woman is laughing
22670,8itRcDYjTiw,A man talking and traffic driving
22671,8itzyk-WgP0,A frog chirps and other frogs and crickets chirp in the background
15555,5MVE73rP6R8,A large engine hums and speeds down a roadway
16884,5yAnVjPDShU,Sirens ring out and cars speed by in the background
15554,5MSE1-YlVfc,A woman speaks followed by laughter and a cat crying
40373,IU9Z_7GsYNM,Wind blows in a tunnel
15556,5MWchKu240k,Dog continuously barking while middle aged woman vocalizes in distinct accent and laughs
15550,5MIXgA43C0M,"People speak, some splashing and clapping followed by laughing"
65268,Z9yyGhM_9qw,Buzzing of nearby insects with distant quacking and faint speaking from a nearby man
15553,5MRDu6qgla0,A crowd of people are talking and a police siren goes off loudly
75536,fXUT4w2jCWs,An engine sound is followed by the sound of helicopter blades
65262,Z9aB-SFDnwk,"A man talks nearby, followed by a door closing, after which the man continues to talk"
46132,MDW5VlmaGjA,A vehicle engine revving and accelerating while driving by
393,-8v6KSVvQrc,The man is speaking and the backside spray sound
392,-8uTrn1Y85U,Ducks are quacking and an adult female speaks
391,-8tskHwTfcQ,The sound of dried leaves rubbing against one another in response to being moved by the wind or another cause
390,-8sR1D7oCic,A race vehicle is accelerating its engine
397,-8ysWJSrITc,She is talking
396,-8yNBmjX1bE,Women speaking followed by children speaking
395,-8yCp5GagJA,The water tap was running water out of the faucet
394,-8xXKLBLOnc,A drill motor is running
399,-8zyGG5y3io,"A woman speaks to a crowd, some camera clicks"
92889,sN5B3nfGlZY,Someone is typing keys on a computer keyboard at a fast pace
76868,gW4iTnEvqHA,"A car engine hums nearby, and then people talk quietly"
3749,0UlteOknFwI,Dog snuffling and panting
3746,0UlXhWYb9Js,A whistle blows then a car comes and passes very fast
3747,0UlaI-oeITg,The cars are passing by
3744,0UjmiLcmMa8,A toilet flushing away water while a bathroom stall door makes noise
3745,0Ukop25AhEc,A loud long burp is followed by a laugh
3742,0Ui0shNtHfY,"Water is running and gurgling, and a female speaks in the background"
3743,0UjUkHszzZ4,An adult male speaks and a medium vehicle engine starts up
3741,0UhqGLU3zac,Vehicle spinning tires in place
57661,Tu0-doXRwUk,Rustling followed by a toilet flushing
99859,xiEIyeo6R7o,A vehicle engine slowly accelerates
57667,TuIfnuhmDq4,A couple of sequences where a computer-generated voice is followed by typing
99855,xi5tZADVwcw,A man speaks and bees buzz
99856,xi7oWgo-wqM,High pitched screeching followed by rustling and some croaking
78247,hUViJ9zgHKw,Something squeals in protest and then something is clanked
52101,Q4ph8Eyq2Pw,A person talks nearby as an engine idles nearby and wind blows
60015,VWLLeNYvxII,Paper crackles nearby as it is manipulated
60017,VWNo6X7aecQ,A race car is driving as a man talks
49163,O9tPTmjH_hY,"Ambient water noises, followed by electronic motorboat engine"
60013,VWKCKIx5vAA,Water dripping and gurgling
68744,aad-tAx1DU0,A machine works
73334,dtkT2VYNgXA,Birds chirping and a person whistling
21930,8MvVwaGPKnI,"Birds are chirping, crickets are chirping, rustling occurs, and an adult male speaks"
21931,8MxxgRV8o7U,"An adult male speaks, water runs, splashes and gurgles, and a thump occurs"
21932,8MzdJUn9n8U,A car starts up and is revved
21933,8N-sgJB6Ias,A man is speaking followed by a thud
21934,8N0pMDO4hsQ,"Approaching vehicle with blowout, birds in background"
21935,8N4KO96rkdU,Water crashing and small person talking
21937,8N5eETeI8Z0,"A child cries, a woman speaks, cat shrieks and the child cries more"
21939,8NAMpUl01ug,Wind blowing hard followed by two men talking in distant ending with a frog croaking
99992,xobSVmWsS3M,A back and forth sanding noise
99995,xoeIYiJsPy0,A helicopter whirs consistently
99994,xoeGfFrOSec,A man talks while a model airplane flies
57086,TVWqe2XM0o8,Men speak with splashing water
57080,TVDvmHlcGm0,A door opens up nearby
57088,TVdoDP96590,High pitched whistling following by low whistling
69641,bDrPO37cp6M,A machine works while wind blows strongly followed by a siren being triggered
100190,xzCbpSQgdpI,A car engine accelerates followed by a beep
19970,7P8x9GIvRJA,A woman is narrating in a foreign language
6819,1ijeSI4LOrU,Birds are flapping their wings
6818,1iiFj83VI7M,"Squeaking occurs, two females speak and laugh, and a hoofed animal walks by"
102365,ziUoP8L-zkA,An aircraft engine running
102362,ziO8CGRSZZ8,Some clicks followed by a man speaking then some bangs
19975,7PKDrv5WP9o,A dog barks in concert with rhythmic thumping
102360,ziG1mj5gTTo,"An aircraft motor is running and buzzing, propellers are vibrating, and two adult males speak faintly in the background"
6811,1iYLIIMgINQ,"A crowd cheers, a man speaks to them"
6813,1ibgN7gv1bQ,Pigeon makes lots of different sound
6812,1iaEDqdYliE,A man is speaking and cars are speeding by
6815,1ie_mPvVJ4A,A motorboat engine is in use
6816,1ih1mXowz1U,An animal is stomping its feet
9755,2vNfb9JmJcQ,A loud clicking and shuffling occurs
9753,2vKxkciAFaM,"A dog pants, shuffles and barks"
9752,2vJVctVYbMo,An older man is giving a speech
9751,2vIXsl6gICw,Loud engine attempting to get started
9750,2vHhaU0k_4k,The ticking and chiming of a clock
38384,HDkT9w96tnY,"A musical instrument bleeps, and then a machine beeps loudly several times"
19979,7PQhq0YjusE,Wind is blowing and dog is panting and whimpering gently
9759,2vTVb3LhxXE,Clanking of dishes in the background while an older man speaks
9758,2vTS31IeyOY,Papers rustling
24146,9SwqisZFZr8,Television plays in background then a young child sneezes and speaks followed by an adult woman who speaks
24144,9SvCis6IdgU,"Man laughing and talking, whistle and engine revving"
24145,9SwGzhspGIs,A woman speaking followed by a baby cooing
24142,9Sn8mlDZ0zs,Wind blowing in a microphone and a group of people talking
24143,9SpP079VAYw,A man is snoring loudly
24141,9SkN9u22uhE,Engine idling quietly with light wind
86938,nrbgVzLPpdQ,Vehicles pass and the wind blows
37309,GXPeyqXZfyM,Motor vehicles are racing and skidding
80590,jCTsyQRkwhg,An idle vehicle engine followed by a musical horn honking then a truck accelerating
58398,UOdw1xsTQFU,A bell rings and a train passes nearby
59952,VTuEzCUFTdE,Clanging sound then a toilet flushing
79408,iJXDHdIpB_k,"A man speaks, then lots of clicks and rustles and a pig squealing"
58938,Umyx9TCiAS0,Someone is snoring softly and there is a light static and a voice in the background
58939,UmzfsnxjAVk,Typing on a computer keyboard followed by a man speaking then plastic cranking
58262,UJ-2WuTunkE,A man talks and types on a keyboard
33755,EPSPjAR8ztY,A crowd applause loudly nearby as a person talks in the distance
33754,EPNr68hknvw,"In a quiet environment, an adult male is speaking"
100194,xzMxL-HwhFw,Several birds tweet while a man talks
49822,ObnqwJxrbcI,Some laughs lightly
68344,aIi_i_Bt510,A vehicle engine idling
33750,EPCTznmNcNw,Telephone ringing followed by a woman speaking
68340,aIS31DyFpDg,A car accelerates and skids
68343,aIbQ6eQ67GA,A man speaking with a distant boom of a jet engine
102106,zVy9pETn6oI,Rustling with distant people speaking followed by a girl speaking
67376,_b_dv4jK9vI,Humming and sputtering of an idling engine revving
88984,pOwNRM3BM_w,Water running continuously
94334,tTvvPOTmImA,Click clack then bell ringing
81561,juJgS5-ddRU,Church bells ring in the distance multiple times as people talk nearby
100016,xpUT30qUUaI,Rustling and white noise followed by a sneeze
100017,xpWWXLTXMaA,Gunshots ring out and an explosion occurs
30229,CUvDaVFQ0sg,A woman speaking and dishes clanking
30334,CYJhs2CPpQs,Men speaking with distant traffic passing
100015,xpSkkPTtQw4,High pitched squeaking with people speaking and sirens in the distance
76168,g0EXbG41tRY,Rumble of an engine followed by an abrupt sharp tone then an engine accelerating
76164,g0ACaijG5Rs,A harsh motor sound
76163,g06QT0gUKvo,A machine runs rapidly
30224,CUlxjccLpXc,An idling car revs the engine
76160,g-uqyDcbnA4,Wind blowing followed by wood cracking
44805,LLfowliB_YU,A man talks while a drill tool works
100130,xvjCydZMfPg,A sewing machine works while a man talks
30222,CUl0CDciflY,A motorcycle passes by and then a man talks as the motorcycle starts to come back
30223,CUlUUdmljb0,Static in the background while a child snores rhythmically
52460,QLEM4EzQhrQ,A man and woman speak after liquid is poured
92603,s8zWOWalXy4,Rail car noises and horn start to fade into the distance
30221,CUiajtjBXHM,Air rushing followed by a couple of sneezes
52462,QLKw_Tgd-ys,A gun shoots with lots of revert
100244,y0xkMQzZACI,Water runs and bells ring while wind blows and a goat bleats
44800,LLQUwiWyzZc,A rustling sound and a brief tapping and drumming
94333,tTt0_1h17dU,An emergency siren wailing as a man speaks over a radio while a muffled vehicle engine accelerates followed by another man yelling in the distance
91219,r5s_IAgFiKo,Birds tweet while a ball is played
101943,zNrRMTf3qkU,"A man speaks followed by a tapping noise, and a man and child communicates followed by another man talking"
35218,FGc9Zt1MXng,A child laughs loudly and a man shouts
101942,zNkyJTy27vM,A man speaks as the wind blows followed by a motorboat traveling and the engine accelerates
35215,FGLzoiXAqEI,A large bell rings
35210,FGAg5PGzfu8,Young child crying and woman speaking
101941,zNasu_05xaI,An infant crying followed by a woman giggling
23266,90ysqz1zb0Q,A vehicle is accelerating
23267,90zLKk9MSdg,Wind blowing while a helicopters' engine runs
23265,90wcPsxr4H4,A man speaking as music plays then suddenly two explosions
23262,90q27wRwb9k,Several motorcycles race with engines humming and wind blowing
23263,90tI6IOUBUI,"Some rumbling, then a melodious vehicle horn"
23260,90lCkXCD-zo,"Adult females are laughing, and thumping occurs"
23261,90oU5rfJgdk,"A wind blows strongly in a microphone, then a blasting, blowing sound"
23269,912ulwC5d6M,A baby crying and breathing
95799,ubIlCVO3pbk,A man speaking as a ball bounces on a hard surface in the background with wind blowing into a microphone
94331,tTmvQdMfLuI,A man speaks and then wind blows and a woman speaks
9256,2i65tU46rDA,A woman is speaking loudly
23753,9GBuJ_AvHOE,Leaves blowing in the wind
10702,3JAIdFFGTtQ,Pots and pans rattle in the background
9255,2i2RLHiezds,A man delivers a speech
43855,Kia_gYhJ7k0,Clacking noises with a horn honking
10706,3JGsZLRU-kc,A water faucet is running then turned off
10705,3JELvtiMAZM,Vehicle running loudly with a clanking sound
49164,O9xYzACrBjA,"An airplane propeller spins loudly, and then a person bangs on a window multiple times"
6778,1hpQ2YaY3wo,A man speaks and music plays
6774,1hclg1BK7Sg,A truck engine idling with music in the background
6775,1hdDxxnwD78,Man speaking loudly
6776,1hj7HqQH4AA,A woman is speaking
6770,1hWHlsVYhwo,Boys are talking and a dog is barking
6771,1hX8CqcKGsk,A drill is in use
6772,1hXKHVcN1SE,Applause followed by speech
6773,1hXLW_zsmZg,Bell ringing continuously
49569,ORl0KaeGVzk,"A young child cries, and adult female speaks, and the child continues to sob and speak"
92748,sGEWDm1-RdY,A toilet flushes and a door opens
49567,ORg-1Jn7dY4,Bells ringing loudly
23757,9GNe9_gjj6g,A buzzing followed by a bee flying
84221,ls12kzqkX0s,Birds chirping and insects buzzing while wind blows in a microphone
88554,p4kT-YyyU90,Man speaking and a motor running
32607,Dked9VwV5gw,A woman speaking continuously
101075,ygKEl01lp8s,A man speeches and then the toilet is flushed
81996,kEfFvQlA5n8,"A large volume of water splashes, six clicks occur, an adult female laugh, and birds chirp in the background"
42811,K2VEwu7vG8k,An infant cries with low talking and fan noise in the background
42815,K2aCJSsrT9k,"Static crackles, a person speaks in a distorted way, and water flows"
85670,mvbjcYC2TaY,Someone talking and a cat hissing and screeching
85674,mvmLUf3f7ZE,Motor along with gurgling
5059,10XJ787bm2Q,"The motor of a boat with the sound of waves, followed by calm and still water"
5054,10R2yQUbKzc,Large vehicle engine and woman's faint speech
5056,10SZFHfWSz4,"Roaring is present, an emergency vehicle siren sounds, and then machine gun fire and more roaring"
5057,10Vv0X2_n6Q,A roar of a large vehicle as it approaches while a person screams something as the vehicle speeds away
5050,10ILs3Dvgds,Someone is talking while someone is snoring
5051,10IhJop-JE4,Power tools run
5052,10MRxp2q8R4,Female speaker giving a speech
5053,10OItSnDWd0,A man is talking and a whoosh is heard
98497,weLUPbinxPo,Two women talking and laughing followed by a door banging softly as a door creaks repeatedly
38561,HKOyrFuHsnI,Water streaming and dripping on a surface with vehicles passing by in the background
38567,HKhGst2jNf8,A man speaking as a bird tweets and a chicken clucks while water splashes and wind blows into a microphone
38566,HKgby13GaZM,Humming of a loud engine of a hovering helicopter
70130,baVWqtuSAno,A desk bell is rung and echoes
18891,6uDv3CFjq2A,Ongoing stream running with faint children noises
18890,6uCq9iyudI4,A young man is speaking as a sink is filling up
18897,6uRL_wlWIxI,Birds chirping with a light banging in the background
18895,6uOmaZT3PRQ,Clicking on a computer keyboard
18894,6uN36JJR2Eg,A man speaking over a loud speaker and a helicopter flying by
18898,6uSoEE2rS9o,Hissing loudly and a man speaking
87299,o7Nra5Cw_jQ,A telephone bell rings
87464,oFsStsueMZc,"Multiple fire truck sirens going off continuously, then the engine of a car zooms past"
87291,o6uZQIMPhWE,Numerous number of frogs croaking
87292,o7-MJ5pyWDs,A flock of pigeons cooing as a bird chirps in the background followed by bird wings flapping
87294,o7-bm4FbUUU,Someone talks with voice on fast forward effect followed by a door opening
44221,KxWd4bh2zk4,An objects are rasped
69835,bMnJl__M898,An engine hums along with traffic noise in the background and a few words are spoken on a microphone
44223,Kxa7pvwyJPc,A bell chiming loudly three times
44222,KxZ-Uqn39Uw,Sink running and water dripping with male voice
36179,FsPM3qqt0yQ,An engine accelerating followed by brief silence
44227,KxkxGmAPy0I,"A person speaks, pauses, and then speaks again"
44229,KxpklHRC7Lg,"A car accelerates loudly several times, followed by footsteps"
36171,Frzncwi8Loc,"Bubbling water, along with the voice of a woman; then a drum beat kicks in"
18769,6ps8Q2EyWQk,A man speaking with leaves rustling and bugs chirping
18768,6pmMNLLcU9Q,A large motor idles with some hydraulic hissing
89949,q6pAgnS9BoU,A kid speaking followed by an insect buzzing
33529,EGhjsAOjfzU,A man talks followed by a machine working
18761,6pYQ0zQTHUc,A man speaking with people clapping
18760,6pTTmdHTaTg,A distant humming with rustling
89941,q6WyuwZE3Lg,A truck engine revving then idling
18762,6pY_gFJiSSg,Wood scraping and a man speaking
18765,6pfYx5e-RvQ,The lady is giving a speech
18764,6pfN49qA3NM,A man speaks echoing in a microphone
18767,6pjIVseNWAI,Water splashed in a faucet as a man speaks
87127,o-yXf9uRP4s,A man speaking as plastic crinkles and crumples
41540,JESA2AMiXkw,Multiple pigeons cooing
41546,JEZWQ17TXhU,Water trickles gently and slowly stops
41545,JEXQ3c1Oze8,A man talks followed by several people cheering
83637,lQPxJ3M0Ves,A baby is crying and then a man and woman are laughing.
60778,W1QhUu3Jnp0,A helicopter flying
83631,lQ6zTOCg1gw,"Someone types on a keyboard super fast, slowing down just once"
83630,lQ57gZs9b1E,A child speaks as vehicles pass by
38873,HXI60nu_tII,People talks nearby as bees buzz loudly and rapidly
88453,p-mInDiyaKY,Dogs barking as a group of women are talking followed by whistling
94138,tK32_x_c3Tk,A machine works while a man talks followed by some material being rubbed
24637,9jDfLBPWwZM,Vehicle drives by quickly followed by a man speaking
71777,cnzMT0VuMcQ,A kid screams over and over and then another kid snorts like a pig
71774,cnWssIAfp04,A man speaks then removes something from a plate putting it into a frying pan
71779,co6-lH4EO7Y,A man speaks in Russian while an insects buzz
71778,co-rErLcFzg,A man speaks with some distant splashing and quacking ducks
8035,2DmtgJv97-U,A dog barks and whimpers
